Code,Name,Path,Level
64129,مجتمع قضايي حضرت وليعصر(عج) شهرستان تبريز (شعب دادگاههاي صلح),دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان تبريز > دادگاه عمومي و انقلاب شهرستان تبريز > مجتمع قضايي حضرت وليعصر(عج) شهرستان تبريز (شعب دادگاههاي صلح),4
41122,مجتمع قضايي خانواده شهرستان تبريز,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان تبريز > دادگاه عمومي و انقلاب شهرستان تبريز > مجتمع قضايي خانواده شهرستان تبريز,4
41800,مجتمع قضايي شهيد بهشتي تبريز (شعب دادگاههاي حقوقي),دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان تبريز > دادگاه عمومي و انقلاب شهرستان تبريز > مجتمع قضايي شهيد بهشتي تبريز (شعب دادگاههاي حقوقي),4
41173,مجتمع قضايي شهيد قاضي طباطبايي تبريز(شعب دادگاههاي كيفري 2),دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان تبريز > دادگاه عمومي و انقلاب شهرستان تبريز > مجتمع قضايي شهيد قاضي طباطبايي تبريز(شعب دادگاههاي كيفري 2),4
64062,مجتمع قضايي شهيد قدوسي تبريز (شعب دادگاههاي صلح),دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان تبريز > دادگاه عمومي و انقلاب شهرستان تبريز > مجتمع قضايي شهيد قدوسي تبريز (شعب دادگاههاي صلح),4
65010,مجتمع قضايي شهيد مدني شهرستان تبريز (شعب دادگاههاي كيفري 2),دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان تبريز > دادگاه عمومي و انقلاب شهرستان تبريز > مجتمع قضايي شهيد مدني شهرستان تبريز (شعب دادگاههاي كيفري 2),4
41100,مجتمع مركزي دادگستري كل استان آذربايجان شرقي(شعب دادگاه),دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان تبريز > دادگاه عمومي و انقلاب شهرستان تبريز > مجتمع مركزي دادگستري كل استان آذربايجان شرقي(شعب دادگاه),4
45600,شوراي حل اختلاف شهرستان تبريز,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان تبريز > شوراي حل اختلاف شهرستان تبريز,3
65354,مجتمع توسعه حل اختلاف علامه اميني تبريز,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان تبريز > شوراي حل اختلاف شهرستان تبريز > مجتمع توسعه حل اختلاف علامه اميني تبريز,4
45612,مجتمع زندان مركزي شهرستان تبريز(شعب شوراي حل اختلاف),دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان تبريز > شوراي حل اختلاف شهرستان تبريز > مجتمع زندان مركزي شهرستان تبريز(شعب شوراي حل اختلاف),4
